arad,9,j,male
ACx,ACy,ACz,encoder1,encoder2,time
-25,4,240,9,6,0.1
-25,4,241,9,6,0.2
-25,4,241,9,6,0.3
-26,4,242,9,6,0.4
-25,3,240,9,6,0.5
-26,2,241,9,6,0.6
-25,4,241,9,6,0.7
-25,4,240,9,6,0.8
-26,5,240,9,6,0.9
-27,4,240,9,6,1.0
-25,3,240,9,6,1.1
-25,4,240,9,6,1.2
-28,3,242,9,6,1.3
-26,3,240,9,6,1.4
-13,3,246,9,6,1.5
-28,5,243,9,6,1.6
-144,-126,189,9,6,1.7
22,6,148,9,6,1.8
-42,-27,282,9,6,1.9
-16,-38,232,9,6,2.0
-35,53,302,10,7,2.1
-39,37,234,10,7,2.2
-27,61,240,10,7,2.3
-24,24,240,10,7,2.4
-26,12,241,10,7,2.5
-24,3,235,10,7,2.6
-26,14,254,10,7,2.7
-13,10,281,10,7,2.8
-24,-13,226,12,8,2.9
-37,-15,253,12,8,3.0
-29,-15,258,12,8,3.1
-21,-8,247,12,8,3.2
-31,-8,247,12,8,3.3
-45,-18,227,12,8,3.4
-40,15,239,12,8,3.5
-28,-7,224,12,8,3.6
-26,7,240,12,8,3.7
-28,12,242,12,8,3.8
-21,0,242,12,8,3.9
-38,38,266,12,8,4.0
-37,15,236,12,8,4.1
-20,-3,240,12,8,4.2
-32,-21,248,12,8,4.3
-43,0,238,12,8,4.4
-49,36,234,12,8,4.5
-40,21,241,12,8,4.6
-46,9,237,12,8,4.7
-28,5,266,12,8,4.8
-21,10,252,12,8,4.9
-24,14,238,12,8,5.0
-25,29,237,12,8,5.1
-23,11,235,12,8,5.2
-6,-2,249,12,8,5.3
-13,-11,249,12,8,5.4
-26,-33,238,12,8,5.5
-30,-1,245,12,8,5.6
-29,14,239,12,8,5.7
-28,7,240,12,8,5.8
13,7,236,12,8,5.9
-16,1,238,12,8,6.0
-17,6,240,12,8,6.1
-23,9,238,12,8,6.2
-21,6,242,12,8,6.3
-23,4,239,12,8,6.4
-21,20,245,12,8,6.5
-22,11,241,12,8,6.6
-20,-6,242,12,8,6.7
-22,9,241,12,8,6.8
-21,8,241,12,8,6.9
-21,7,240,12,8,7.0
-20,9,241,12,8,7.1
-23,8,239,13,9,7.2
-20,7,241,13,9,7.3
-23,7,240,13,9,7.4
-20,1,240,13,9,7.5
-24,14,241,13,9,7.6
-19,4,239,13,9,7.7
-21,2,239,13,9,7.8
-29,1,242,13,9,7.9
-24,14,239,13,9,8.0
-16,23,241,15,9,8.1
-21,3,240,15,9,8.2
-17,1,241,15,9,8.3
-19,16,240,15,9,8.4
-10,3,232,15,9,8.5
-12,1,240,17,10,8.6
-23,0,241,17,10,8.7
-19,8,240,17,10,8.8
-22,8,241,17,10,8.9
-20,7,240,17,10,9.0
-22,8,240,17,10,9.1
-20,6,240,17,10,9.2
-20,7,241,17,10,9.3
-20,8,242,17,10,9.4
-21,7,243,17,10,9.5
-20,6,241,17,10,9.6
-20,8,241,17,10,9.7
-21,6,241,17,10,9.8
-23,9,243,17,10,9.9
-20,6,240,17,10,10.0
-22,8,240,17,10,10.1
-21,7,240,17,10,10.2
-20,5,240,17,10,10.3
-21,10,240,17,10,10.4
-19,4,242,17,10,10.5
-20,7,240,17,10,10.6
-20,6,242,17,10,10.7
-20,5,241,17,10,10.8
-21,8,241,17,10,10.9
-21,7,242,17,10,11.0
-24,6,242,17,10,11.1
-11,11,253,17,10,11.2
-21,7,239,17,10,11.3
-21,1,241,17,10,11.4
-20,2,241,17,10,11.5
-22,9,242,17,10,11.6
-19,4,240,17,10,11.7
-22,9,242,17,10,11.8
-19,6,242,17,10,11.9
-20,7,241,17,10,12.0
-24,5,249,17,10,12.1
-21,5,239,17,10,12.2
-15,-1,233,17,10,12.3
-20,7,244,17,10,12.4
-9,-14,227,17,10,12.5
-22,19,241,17,10,12.6
-20,5,241,17,10,12.7
-21,6,240,17,10,12.8
-18,7,240,17,10,12.9
-19,7,240,17,10,13.0
-21,2,241,17,10,13.1
-21,1,241,17,10,13.2
-21,-10,240,17,10,13.3
-19,-36,227,19,11,13.4
-42,-24,218,19,11,13.5
-27,-6,236,19,11,13.6
-17,24,257,19,11,13.7
4,67,240,19,11,13.8
-12,54,237,19,11,13.9
-31,37,242,19,11,14.0
-6,47,235,19,11,14.1
-25,34,241,19,11,14.2
-31,21,215,19,11,14.3
5,57,200,20,12,14.4
-21,-13,255,20,12,14.5
-19,4,238,20,12,14.6
-20,8,241,20,12,14.7
-19,8,241,20,12,14.8
-18,6,240,20,12,14.9
-17,9,240,20,12,15.0
-18,4,239,20,12,15.1
-20,13,243,20,12,15.2
-18,8,240,20,12,15.3
-17,9,241,20,12,15.4
-22,6,241,20,12,15.5
-17,7,243,20,12,15.6
-20,10,244,20,12,15.7
-19,6,240,20,12,15.8
-19,4,241,20,12,15.9
-23,4,244,20,12,16.0
0,2,233,20,12,16.1
-14,4,243,20,12,16.2
-15,5,241,20,12,16.3
-17,5,238,20,12,16.4
-10,9,240,20,12,16.5
-17,5,244,20,12,16.6
-20,7,245,20,12,16.7
-17,4,239,20,12,16.8
-19,6,242,20,12,16.9
-18,12,249,20,12,17.0
-16,8,241,20,12,17.1
-19,10,243,20,12,17.2
-21,7,242,20,12,17.3
-16,1,235,20,12,17.4
-15,6,241,20,12,17.5
-19,5,241,20,12,17.6
-11,4,238,20,12,17.7
-1,0,232,20,12,17.8
-53,34,177,20,12,17.9
-28,3,250,20,12,18.0
-22,10,237,20,12,18.1
-12,0,234,20,12,18.2
-16,-10,243,20,12,18.3
-77,-116,206,20,12,18.4
-16,-58,232,21,13,18.5
-28,7,233,21,13,18.6
-9,33,230,21,13,18.7
-24,9,258,21,13,18.8
-3,-1,280,21,13,18.9
-16,52,256,22,14,19.0
-22,55,240,22,14,19.1
-18,-12,235,22,14,19.2
-28,7,238,22,14,19.3
-20,11,239,22,14,19.4
-26,-16,239,22,14,19.5
-26,-15,242,23,15,19.6
-21,-3,240,23,15,19.7
-14,3,241,23,15,19.8
-22,1,240,23,15,19.9
-24,0,242,23,15,20.0
-19,1,242,23,15,20.1
-23,0,241,23,15,20.2
-20,6,241,23,15,20.3
-20,9,240,23,15,20.4
