ffdhjf,hjgkhlkj;,fjgkhlj;o,male
ACx,ACy,ACz,encoder1,encoder2,time
-22,8,241,0,0,0.1
-22,8,241,0,0,0.2
-23,9,241,0,0,0.3
-21,9,243,0,0,0.4
-22,8,242,0,0,0.5
-22,8,241,0,0,0.6
-22,8,239,0,0,0.7
-22,9,241,0,0,0.8
-22,8,239,0,0,0.9
-22,8,242,0,0,1.0
-22,9,241,0,0,1.1
-22,8,242,0,0,1.2
-22,8,241,0,0,1.3
-21,9,240,0,0,1.4
-22,9,242,0,0,1.5
-21,10,241,0,0,1.6
-22,8,242,0,0,1.7
-22,9,241,0,0,1.8
-23,10,240,0,0,1.9
-21,9,241,0,0,2.0
116,-467,70,0,0,2.1
-23,21,300,0,0,2.2
-29,18,213,1,1,2.3
-26,8,212,1,1,2.4
-17,15,195,1,1,2.5
-6,15,232,1,2,2.6
-20,15,215,2,2,2.7
-26,21,237,2,2,2.8
-54,74,245,2,2,2.9
-22,37,237,2,2,3.0
-16,-6,243,2,2,3.1
-17,63,244,2,2,3.2
5,30,241,2,2,3.3
18,16,244,2,2,3.4
-1,-19,251,2,2,3.5
-36,-16,199,2,2,3.6
-31,26,308,2,2,3.7
-14,31,225,2,2,3.8
7,-21,241,4,2,3.9
0,10,236,4,2,4.0
-40,15,235,4,2,4.1
-39,7,227,4,3,4.2
-36,19,229,4,3,4.3
9,-2,250,4,3,4.4
-1,1,240,5,3,4.5
-59,-10,245,5,3,4.6
-14,-2,229,5,3,4.7
-18,0,247,5,3,4.8
-18,1,242,5,3,4.9
-20,1,242,5,3,5.0
-20,8,240,5,3,5.1
-20,5,241,5,3,5.2
-19,5,239,5,3,5.3
-20,7,240,5,3,5.4
-25,9,249,5,3,5.5
-21,4,242,5,3,5.6
-35,12,230,5,3,5.7
-19,39,242,5,3,5.8
-17,39,247,5,3,5.9
-24,17,221,5,3,6.0
-31,-28,244,5,3,6.1
-13,20,246,5,4,6.2
-15,25,236,5,4,6.3
-4,21,264,5,4,6.4
-18,1,254,6,4,6.5
-62,-14,241,6,4,6.6
-20,1,255,6,4,6.7
9,12,253,6,5,6.8
-3,22,225,6,5,6.9
-25,-30,238,7,5,7.0
-23,-68,238,7,5,7.1
-27,-64,245,7,5,7.2
-39,-14,238,7,5,7.3
-9,24,216,8,5,7.4
-32,22,250,8,5,7.5
-1,-2,239,8,7,7.6
-12,21,233,8,7,7.7
-10,26,248,8,7,7.8
-26,0,254,10,7,7.9
-9,20,250,10,8,8.0
-11,18,254,10,8,8.1
-5,22,234,10,8,8.2
-5,15,260,10,8,8.3
-8,8,248,10,8,8.4
-7,-2,246,10,8,8.5
-27,-22,231,11,8,8.6
-49,62,250,11,9,8.7
-49,88,248,11,9,8.8
-25,100,246,11,9,8.9
-2,89,254,11,10,9.0
18,40,214,13,10,9.1
-18,-21,241,13,10,9.2
21,-54,244,14,11,9.3
-10,-44,240,14,11,9.4
-29,18,237,14,11,9.5
-40,24,247,14,11,9.6
-11,12,268,15,12,9.7
19,-6,204,15,12,9.8
2,-2,240,15,12,9.9
-15,18,216,15,12,10.0
-29,-11,232,15,13,10.1
-6,25,233,16,13,10.2
-12,13,236,16,13,10.3
-8,-1,245,16,13,10.4
-17,-11,252,16,13,10.5
-14,-3,240,18,14,10.6
-18,-13,242,18,14,10.7
-2,-9,245,18,14,10.8
