temp,1,1,male
ACx,ACy,ACz,encoder1,encoder2,time
-28,7,244,0,0,0.1
-29,7,240,0,0,0.2
-28,7,240,0,0,0.3
-28,6,242,0,0,0.4
-26,7,239,0,0,0.5
-28,6,241,0,0,0.6
-28,7,241,0,0,0.7
-27,6,240,0,0,0.8
-28,8,239,0,0,0.9
-26,8,241,0,0,1.0
-28,6,239,0,0,1.1
-26,8,239,0,0,1.2
-26,9,242,0,0,1.3
-25,6,240,0,0,1.4
-27,8,240,0,0,1.5
-28,7,240,0,0,1.6
-26,7,241,0,0,1.7
-27,7,240,0,0,1.8
-26,7,240,0,0,1.9
-27,8,242,0,0,2.0
-28,8,239,0,0,2.1
-27,8,242,0,0,2.2
-28,7,239,0,0,2.3
-24,8,242,0,0,2.4
-28,8,241,0,0,2.5
-25,6,240,0,0,2.6
-24,7,243,0,0,2.7
-28,8,239,0,0,2.8
-25,7,241,0,0,2.9
-29,7,238,0,0,3.0
-25,7,240,0,0,3.1
-28,7,239,0,0,3.2
-27,6,239,0,0,3.3
-27,6,241,0,0,3.4
-27,8,239,0,0,3.5
-27,7,242,0,0,3.6
-27,3,240,0,0,3.7
-28,2,243,0,0,3.8
-29,4,241,0,0,3.9
-26,2,238,0,0,4.0
-32,1,241,0,0,4.1
-33,2,239,0,0,4.2
-23,10,245,0,0,4.3
-31,7,235,0,0,4.4
-28,4,238,0,0,4.5
-26,8,246,0,0,4.6
-26,4,234,0,0,4.7
-26,10,244,0,0,4.8
-27,5,237,0,1,4.9
-30,5,237,0,1,5.0
-29,4,241,0,1,5.1
-21,10,241,4,1,5.2
-29,5,239,4,1,5.3
-24,7,240,4,1,5.4
-27,11,243,4,1,5.5
-29,6,240,4,1,5.6
-29,6,240,4,1,5.7
-25,4,238,4,1,5.8
-25,3,241,4,1,5.9
-30,2,242,4,1,6.0
-26,5,242,4,1,6.1
-31,4,241,4,1,6.2
-23,7,240,4,3,6.3
-27,9,246,4,3,6.4
-28,8,246,4,3,6.5
-29,5,244,6,3,6.6
-29,11,248,6,3,6.7
-23,9,247,6,3,6.8
-23,12,244,6,3,6.9
-30,1,234,6,3,7.0
-23,5,247,6,3,7.1
-24,15,239,6,3,7.2
-32,12,235,6,3,7.3
-30,15,237,6,3,7.4
-29,19,238,6,3,7.5
-27,24,243,6,3,7.6
-27,8,240,6,3,7.7
-26,17,243,6,3,7.8
-27,18,241,6,3,7.9
-24,11,242,6,3,8.0
-27,15,241,6,3,8.1
-29,19,237,6,3,8.2
-29,13,241,6,3,8.3
-21,8,245,6,3,8.4
-24,10,245,6,3,8.5
-25,9,236,9,3,8.6
-32,6,236,9,3,8.7
-36,2,244,9,4,8.8
-28,10,230,9,4,8.9
-28,6,248,9,4,9.0
-22,13,242,9,4,9.1
